Date,Open,High,Low,Close,Adj Close,Volume,Labels
2001-11-01,44.275002,45.0,44.035,44.93,21.896746,5410400,
2001-11-02,44.575001,44.580002,43.724998,43.724998,21.309479,5329200,
2001-11-05,43.974998,44.174999,43.549999,43.555,21.226631,5289600,
2001-11-06,43.349998,43.555,42.93,43.400002,21.151096,6992800,
2001-11-07,43.400002,43.764999,42.950001,43.639999,21.268068,6459600,
2001-11-08,43.875,44.049999,43.474998,43.794998,21.343609,6541600,hold
2001-11-09,44.375,44.849998,44.224998,44.744999,21.806576,5561600,hold
2001-11-12,44.450001,44.799999,44.0,44.615002,21.743229,4566000,hold
2001-11-13,44.825001,45.110001,43.825001,45.084999,21.972275,6896000,sell
2001-11-14,44.224998,44.5,43.150002,43.310001,21.440117,8151400,hold
2001-11-15,42.375,42.380001,41.25,41.900002,20.742111,12166400,hold
2001-11-16,41.900002,42.075001,41.349998,41.724998,20.655481,10877600,hold
2001-11-19,41.724998,41.799999,41.0,41.455002,20.52182,7657600,buy
2001-11-20,42.25,43.424999,42.150002,43.264999,21.417835,8325600,hold
2001-11-21,43.75,43.865002,42.724998,43.040001,21.306459,6153400,hold
2001-11-23,42.299999,43.424999,42.125,43.290001,21.43022,2781600,sell
2001-11-26,42.575001,42.799999,42.049999,42.599998,21.08864,5234600,hold
2001-11-27,42.349998,43.0,42.174999,42.810001,21.192595,5662400,hold
2001-11-28,42.525002,42.950001,42.275002,42.275002,20.92775,5035000,buy
2001-11-29,42.5,42.84,42.189999,42.724998,21.150511,3293000,hold
2001-11-30,42.700001,42.974998,42.259998,42.505001,21.041611,4459200,hold
2001-12-03,42.509998,43.455002,42.18,43.224998,21.398037,5731400,hold
2001-12-04,43.224998,43.450001,42.790001,43.415001,21.4921,5662000,hold
2001-12-05,43.75,43.990002,43.575001,43.75,21.657936,6313000,sell
2001-12-06,44.0,44.0,42.814999,42.990002,21.281704,4667800,hold
2001-12-07,42.985001,43.799999,42.709999,43.615002,21.591106,4118400,hold
2001-12-10,43.445,43.700001,42.950001,43.064999,21.318829,4436200,hold
2001-12-11,43.064999,43.5,42.514999,42.549999,21.063879,4204200,hold
2001-12-12,43.0,43.0,42.509998,42.799999,21.187653,5348000,hold
2001-12-13,42.799999,42.974998,41.889999,42.125,20.853495,6186200,hold
2001-12-14,42.200001,42.450001,41.900002,42.0,20.791611,6751400,buy
2001-12-17,42.125,42.84,41.790001,42.82,21.197557,6345000,hold
2001-12-18,42.639999,43.195,42.625,43.125,21.348539,4466200,hold
2001-12-19,43.0,43.845001,42.985001,43.75,21.657936,6399800,hold
2001-12-20,44.125,44.150002,43.549999,43.700001,21.633175,4141800,hold
2001-12-21,43.974998,44.445,43.950001,44.299999,21.930204,7552200,hold
2001-12-24,44.299999,44.615002,44.255001,44.275002,21.917831,2038400,hold
2001-12-26,44.575001,45.334999,44.474998,44.599998,22.078711,3932200,hold
2001-12-27,44.724998,45.334999,44.514999,45.154999,22.353462,4841200,hold
2001-12-28,45.5,45.525002,44.919998,45.220001,22.385645,4088800,sell
2001-12-31,45.0,45.349998,44.665001,44.805,22.180193,5061000,hold
2002-01-02,44.805,44.805,43.955002,44.740002,22.148018,5018200,hold
2002-01-03,44.650002,44.985001,44.474998,44.75,22.152971,3480800,hold
2002-01-04,44.814999,45.049999,44.645,44.650002,22.103476,4879000,hold
2002-01-07,44.720001,45.0,44.650002,44.860001,22.207432,4656400,hold
2002-01-08,45.0,45.244999,44.25,45.025002,22.28911,4937800,sell
2002-01-09,44.650002,45.25,44.25,44.555,22.05644,5963400,hold
2002-01-10,44.259998,44.669998,44.099998,44.474998,22.016838,4527000,hold
2002-01-11,44.450001,44.474998,43.625,43.705002,21.635658,5055400,hold
2002-01-14,43.709999,43.869999,43.355,43.695,21.630707,5301000,hold
2002-01-15,44.125,44.599998,44.0,44.599998,22.078711,5563800,hold
2002-01-16,44.150002,44.240002,43.724998,43.73,21.648037,4128000,hold
2002-01-17,43.970001,44.060001,43.5,43.700001,21.633175,3384800,hold
2002-01-18,43.599998,43.875,43.400002,43.400002,21.48468,4183600,hold
2002-01-22,43.700001,43.82,43.055,43.365002,21.467346,3909800,hold
2002-01-23,43.564999,44.279999,43.555,43.875,21.71982,5082000,hold
2002-01-24,43.900002,44.285,43.884998,44.049999,21.806448,3894400,hold
2002-01-25,44.25,44.509998,44.125,44.279999,21.920305,3622400,hold
2002-01-28,44.59,44.59,44.240002,44.435001,21.997038,4752400,sell
2002-01-29,43.875,43.880001,42.325001,42.584999,21.081215,12283800,hold
2002-01-30,41.25,41.665001,40.549999,41.549999,20.568853,14362400,hold
2002-01-31,41.5,41.994999,41.48,41.900002,20.742111,6926400,hold
2002-02-01,41.700001,42.799999,41.700001,42.685001,21.130718,6272000,hold
2002-02-04,42.424999,42.619999,41.900002,41.959999,20.771809,4149200,hold
2002-02-05,41.525002,41.900002,41.055,41.18,20.385683,6604400,hold
2002-02-06,41.244999,41.775002,41.150002,41.599998,20.593596,5351000,hold
2002-02-07,41.299999,41.48,40.875,40.875,20.234694,6443800,buy
