Date,Open,High,Low,Close,Adj Close,Volume,Labels
2001-11-01,33.5,34.450001,33.34,34.439999,18.923151,2880200,
2001-11-02,34.650002,35.400002,34.400002,35.040001000000004,19.252829,2383100,
2001-11-05,35.75,35.75,34.849998,34.849998,19.148432,2625600,
2001-11-06,35.099998,35.849998,34.759998,35.700001,19.615467,1831400,
2001-11-07,35.5,36.48,35.200001,35.93,19.741842,2832300,
2001-11-08,35.25,35.869999,35.25,35.68,19.604479,2721700,hold
2001-11-09,35.650002,35.869999,35.299999,35.810001,19.675907,2000700,hold
2001-11-12,35.630001,35.630001,34.970001,35.29000100000001,19.390194,3223700,buy
2001-11-13,35.950001,36.279999,35.759998,36.040001,19.802284,2353500,hold
2001-11-14,36.490002,36.73,36.32,36.549999,20.082502,2241000,hold
2001-11-15,36.549999,37.98,36.299999,37.5,20.604485,4362200,hold
2001-11-16,37.5,37.66,37.23,37.310001,20.500086,2967300,hold
2001-11-19,37.450001,38.25,37.450001,38.200001,20.989096,3700500,sell
2001-11-20,37.950001,37.98,37.57,37.830002,20.785805,1892500,hold
2001-11-21,37.700001,37.830002,37.299999,37.529999,20.620964,1543100,hold
2001-11-23,37.5,37.990002,37.400002,37.950001,20.851736,639300,hold
2001-11-26,37.950001,37.950001,37.5,37.73,20.730856,1493200,hold
2001-11-27,37.73,37.950001,37.34,37.540001,20.626465,2048700,hold
2001-11-28,37.5,37.540001,37.099998,37.200001,20.439644,1281800,hold
2001-11-29,37.209999,37.439999,36.5,36.869999,20.258324,1629000,buy
2001-11-30,37.200001,37.900002,36.900002,37.5,20.604485,1924000,hold
2001-12-03,37.5,37.5,36.66,36.970001,20.313274,2190800,hold
2001-12-04,36.98,37.380001,36.799999,37.099998,20.384708,2720200,hold
2001-12-05,37.099998,38.5,37.0,38.290001,21.038555,3570000,sell
2001-12-06,38.290001,38.669998,37.790001,37.889999,20.818769,1766900,hold
2001-12-07,37.25,37.75,37.099998,37.209999,20.445141,1480600,hold
2001-12-10,37.0,37.139999,36.419998,36.549999,20.082502,1369600,hold
2001-12-11,36.400002,37.200001,36.360001,36.799999,20.219866,1867400,hold
2001-12-12,36.799999,36.799999,36.110001,36.389999,19.994581,1439400,hold
2001-12-13,36.349998,36.349998,35.099998,35.25,19.368212,2675200,hold
2001-12-14,35.25,35.310001,34.52,34.799999,19.120958,3713200,hold
2001-12-17,35.0,35.299999,34.869999,34.900002,19.175903,3090800,hold
2001-12-18,35.849998,36.990002,35.709999,36.990002,20.324265,4672400,sell
2001-12-19,35.799999,36.630001,35.709999,36.23,19.906673,2920300,hold
2001-12-20,36.330002,36.59,35.900002,35.900002,19.725357,2882200,hold
2001-12-21,35.5,35.700001,34.5,34.5,18.956125,4920700,hold
2001-12-24,34.549999,34.950001,34.349998,34.349998,18.873703,1367000,hold
2001-12-26,34.389999,34.720001,34.0,34.18,18.780296,4183000,hold
2001-12-27,34.18,34.25,33.66,34.0,18.866304,4593300,hold
2001-12-28,34.0,34.009998,33.669998,33.75,18.727581,2640800,buy
2001-12-31,34.0,34.380001,33.779999,33.779999,18.744232,3282200,hold
2002-01-02,34.0,34.43,33.77,34.189999,18.971735,3609700,hold
2002-01-03,34.099998,35.5,33.700001,35.439999,19.665348,8427400,hold
2002-01-04,35.939999,37.0,35.810001,36.75,20.392258,8694000,sell
2002-01-07,37.0,37.0,35.630001,35.630001,19.770782,4480600,hold
2002-01-08,35.650002,35.86000100000001,34.599998,34.669998,19.238083,4163000,hold
2002-01-09,34.299999,35.099998,33.220001,34.0,18.866304,13405700,hold
2002-01-10,33.599998,33.68,29.299999,31.059999,17.23493,22575200,hold
2002-01-11,30.75,31.4,29.92,30.25,16.78546,12443100,hold
2002-01-14,29.0,29.0,25.950001,27.049999,15.009809,24376700,hold
2002-01-15,27.25,27.74,26.360001,26.450001,14.676879,13788900,hold
2002-01-16,26.1,26.15,23.66,25.139999,13.949973000000002,23735900,buy
2002-01-17,25.389999,26.41,24.0,26.24,14.560338,18884100,hold
2002-01-18,26.5,27.15,25.860001,26.83,14.887737,13596200,hold
2002-01-22,27.450001,27.49,26.16,26.4,14.649137,6625700,hold
2002-01-23,26.549999,26.889999,25.799999,26.51,14.710171,5354300,hold
2002-01-24,26.9,28.059999,26.370001,28.0,15.53696,7359300,hold
2002-01-25,27.85,29.5,27.35,28.9,16.036364000000006,9079100,hold
2002-01-28,28.9,29.35,27.639999,28.049999,15.564696,4916200,hold
2002-01-29,28.49,28.530001,27.5,28.049999,15.564696,4085000,buy
2002-01-30,27.549999,28.5,27.16,28.440001,15.781116,5055000,hold
2002-01-31,28.0,30.0,27.6,29.540001,16.391495000000006,8264700,hold
2002-02-01,30.0,30.18,29.200001,29.559999,16.40259,5508000,hold
2002-02-04,29.709999,29.950001,29.4,29.530001,16.385939,3677200,hold
2002-02-05,29.52,29.700001,28.5,28.76,15.958675,3577700,buy
2002-02-06,28.700001,29.6,28.65,29.200001,16.202820000000006,3596200,hold
2002-02-07,29.200001,29.65,29.1,29.35,16.28606,2352800,hold
2002-02-08,29.25,29.92,28.25,29.92,16.602348000000006,4369100,hold
2002-02-11,29.4,30.799999,29.299999,30.42,16.879789000000002,4351400,hold
2002-02-12,30.42,30.5,29.85,29.93,16.607903,2318600,hold
2002-02-13,30.43,30.690001,29.950001,30.0,16.646742,2111200,hold
2002-02-14,30.0,30.190001,29.530001,29.82,16.546864000000006,2236300,hold
2002-02-15,30.299999,30.6,30.25,30.57,16.96303,4041400,sell
2002-02-19,29.85,30.219999,29.709999,29.77,16.51911,4788200,hold
2002-02-20,29.6,29.92,29.5,29.75,16.508017000000002,3014000,hold
2002-02-21,29.799999,30.389999,29.639999,29.639999,16.446973999999994,4425600,buy
2002-02-22,29.65,31.0,29.5,30.389999,16.863152,4219000,hold
2002-02-25,30.5,30.790001,30.15,30.309999,16.818756,2535600,hold
2002-02-26,30.450001,30.82,30.25,30.389999,16.863152,2378700,hold
2002-02-27,30.5,30.85,30.26,30.43,16.885345,2169200,hold
2002-02-28,30.440001,32.18,30.370001,31.280001,17.357,5495400,hold
2002-03-01,31.07,32.220001,31.07,32.200001,17.867506,4722500,hold
2002-03-04,32.450001,33.5,32.23,33.400002,18.533377,4250600,sell
2002-03-05,33.150002,33.23,31.6,31.809999,17.6511,3851900,buy
2002-03-06,32.0,32.59,31.629999,32.360001000000004,17.956284,2557800,hold
2002-03-07,32.580002,32.77,32.049999,32.400002,17.978479,2088000,hold
