Date,Open,High,Low,Close,Adj Close,Volume,Labels
2001-11-01,57.580002,59.330002,57.529999,58.869999,37.279724,6926800,
2001-11-02,58.869999,59.18,58.560001,58.98,37.349377,4489600,
2001-11-05,59.119999,59.279999,58.07,58.48,37.032753,7607300,
2001-11-06,58.73,59.0,57.950001,59.0,37.362045,6896700,
2001-11-07,59.0,59.849998,58.5,58.75,37.203747,7599000,
2001-11-08,59.369999,59.799999,58.650002,59.0,37.362045,7511200,hold
2001-11-09,59.0,59.779999,58.919998,59.560001,37.71667100000001,5831400,hold
2001-11-12,59.099998,59.790001,58.84,59.02,37.374722,4374800,hold
2001-11-13,59.099998,59.790001,59.080002,59.650002,37.773674,5801700,hold
2001-11-14,59.650002,60.25,59.310001,60.07,38.039631,6623500,hold
2001-11-15,60.25,60.689999,59.560001,60.0,37.995304,6663800,hold
2001-11-16,60.0,60.139999,59.380001,59.919998,38.058819,5750200,hold
2001-11-19,59.810001,60.099998,59.25,59.900002,38.046131,5998200,hold
2001-11-20,59.400002,60.849998,59.25,60.779999,38.605064,7344100,hold
2001-11-21,60.5,60.950001,60.41,60.849998,38.649529,6139100,hold
2001-11-23,60.400002,60.970001,60.369999,60.970001,38.725739,2482700,sell
2001-11-26,60.709999,60.799999,60.009998,60.5,38.427219,6273100,hold
2001-11-27,60.0,60.73,59.91,60.009998,38.115986,6893500,hold
2001-11-28,60.0,60.23,59.900002,59.990002,38.103287,7277100,hold
2001-11-29,58.849998,59.209999,58.0,58.48,37.14420300000001,12480300,hold
2001-11-30,58.23,58.299999,57.509998,58.25,36.998104,13867800,hold
2001-12-03,57.82,58.740002,57.799999,58.310001,37.036217,8216700,hold
2001-12-04,57.5,57.650002,56.950001,57.23,36.35025,12444800,hold
2001-12-05,57.48,57.48,56.5,56.599998,35.95008499999999,13067300,hold
2001-12-06,56.099998,56.900002,55.509998,55.669998,35.359386,12811100,hold
2001-12-07,55.419998,56.830002,55.419998,56.650002,35.98185,10532600,hold
2001-12-10,56.5,56.540001,55.52,55.52,35.264118,8982900,buy
2001-12-11,55.900002,56.93,55.75,56.139999,35.65790900000001,11586400,hold
2001-12-12,56.0,56.43,55.759998,56.049999,35.600746,11153800,hold
2001-12-13,56.060001,56.759998,55.849998,56.23,35.715076,9149800,hold
2001-12-14,56.549999,56.709999,56.23,56.299999,35.759537,6716500,hold
2001-12-17,56.549999,57.599998,56.400002,56.450001,35.854809,8157500,hold
