Date,Open,High,Low,Close,Adj Close,Volume,Labels,Labels2
2001-11-01,36.09,36.59,35.16,36.34,21.878881,8193300,,
2001-11-02,36.09,36.48,35.799999,36.040001,21.698259,6018900,,
2001-11-05,36.5,37.080002,36.27,36.360001,21.890921,6622200,,
2001-11-06,36.610001,37.900002,36.43,37.540001,22.601353,9947800,,
2001-11-07,37.720001,38.950001,37.540001,38.59,23.233513,8817300,,
2001-11-08,38.650002,39.630001,38.599998,38.799999,23.359947,6771400,hold,
2001-11-09,38.799999,39.299999,38.02,39.049999,23.51046,4529500,hold,
2001-11-12,38.759998,39.0,37.25,38.799999,23.359947,5311200,buy,buy
2001-11-13,39.849998,39.990002,38.970001,39.349998,23.691076,7900400,hold,
2001-11-14,39.900002,40.0,38.75,39.650002,23.871696,5773200,hold,
2001-11-15,39.610001,39.790001,39.150002,39.549999,23.811501,5273100,hold,
2001-11-16,39.549999,39.549999,38.810001,39.41,23.727196,5616600,hold,
2001-11-19,39.599998,40.240002,39.57,40.099998,24.142628,4777500,sell,sell
2001-11-20,39.849998,39.98,39.279999,39.400002,23.721182,5442300,hold,
2001-11-21,39.400002,39.59,38.450001,38.84,23.384033,4915600,hold,
2001-11-23,38.599998,39.389999,38.599998,39.389999,23.715147,3129700,hold,
2001-11-26,39.389999,39.52,38.959999,39.490002,23.775368,6817800,hold,
2001-11-27,39.650002,40.299999,39.259998,39.799999,23.962006,7612900,hold,
2001-11-28,39.490002,39.639999,37.200001,37.5,22.577269,18051800,hold,
2001-11-29,37.400002,38.09,36.5,38.060001,22.914421,11981900,hold,
2001-11-30,38.310001,38.349998,37.610001,37.720001,22.709723,7271300,hold,
2001-12-03,36.900002,37.080002,36.130001,36.549999,22.00531,11064300,buy,buy
2001-12-04,37.0,37.459999,36.259998,37.220001,22.408691,8180500,hold,
2001-12-05,37.700001,39.509998,37.630001,39.02,23.492399,9551300,hold,
2001-12-06,39.25,40.950001,39.150002,40.380001,24.311197,10875900,sell,sell
2001-12-07,40.25,40.25,39.700001,39.77,23.943932,5674700,hold,
2001-12-10,39.77,39.77,38.41,38.68,23.28769500000001,6631800,hold,
2001-12-11,38.759998,39.450001,38.259998,38.5,23.179321,6604900,hold,
2001-12-12,38.75,38.75,37.669998,38.369999,23.101059,6770500,hold,
2001-12-13,37.400002,37.900002,36.799999,37.09,22.330418,8901400,hold,
2001-12-14,36.599998,36.990002,35.400002,36.040001,21.698259,14055500,hold,
2001-12-17,36.099998,37.099998,35.810001,36.700001,22.095625,8043900,hold,
2001-12-18,36.950001,37.349998,36.720001,37.189999,22.390625,8069500,hold,
2001-12-19,37.200001,38.950001,36.849998,38.0,22.878305,10382500,hold,
2001-12-20,36.849998,37.459999,36.150002,36.52,21.987251,19306500,hold,
2001-12-21,36.52,36.57,35.02,35.75,21.523657,18511200,buy,buy
2001-12-24,35.759998,36.049999,35.599998,36.040001,21.698259,3508600,hold,
2001-12-26,36.040001,36.75,36.0,36.310001,21.860821,5315500,hold,
2001-12-27,36.25,36.84,35.99000200000001,36.32,21.866835,6687800,hold,
2001-12-28,36.549999,36.830002,36.349998,36.549999,22.00531,5924400,hold,
2001-12-31,36.450001,36.529999,36.16,36.349998,21.884895,6298000,buy,buy
2002-01-02,36.490002,36.490002,35.68,36.349998,22.091532,7929300,hold,
2002-01-03,36.5,37.5,36.34,37.32,22.681044,10348200,hold,
2002-01-04,38.02,39.099998,38.02,39.0,23.702053,10432900,hold,
2002-01-07,39.049999,39.68,38.900002,38.900002,23.641281,9453000,hold,
2002-01-08,39.0,39.049999,38.279999,38.599998,23.458958,7604000,hold,
2002-01-09,38.849998,39.599998,38.389999,38.709999,23.525814,6189600,hold,
2002-01-10,38.400002,39.189999,38.360001,39.139999,23.787148,6870400,sell,sell
2002-01-11,39.25,39.290001,37.720001,38.34,23.300945,7788900,hold,
2002-01-14,37.650002,37.799999,37.049999,37.310001,22.674976,7333000,hold,
2002-01-15,37.310001,38.290001,37.310001,37.869999,23.015301,8475900,hold,
2002-01-16,37.5,37.509998,36.099998,36.509998,22.188768,15076200,hold,
2002-01-17,37.0,37.200001,36.5,36.849998,22.395401,11503100,hold,
