Date,Open,High,Low,Close,Adj Close,Volume,Labels,Labels2
2001-11-01,42.0,42.75,41.900002,42.740002,23.093231,12559700,,
2001-11-02,42.740002,42.799999,42.07,42.200001,22.801462,10432900,,
2001-11-05,42.549999,42.889999,41.799999,41.959999,22.671776,11050800,,
2001-11-06,41.900002,42.48,41.439999,42.310001,22.860897,11336200,,
2001-11-07,42.080002,42.650002,42.07,42.139999,22.769035,11312900,,
2001-11-08,42.389999,42.59,42.009998,42.299999,22.855497,9816400,hold,
2001-11-09,42.299999,42.490002,41.73,42.130001,22.763641,8090200,hold,
2001-11-12,42.130001,42.419998,41.619999,42.060001,22.725809,7099300,buy,buy
2001-11-13,42.200001,42.580002,41.93,42.580002,23.006771,10597700,hold,
2001-11-14,42.57,42.709999,42.189999,42.380001,22.958021,10091100,hold,
2001-11-15,42.549999,42.950001,42.18,42.650002,23.10429,9621400,hold,
2001-11-16,42.880001,42.900002,42.400002,42.73,23.147621,10521200,hold,
2001-11-19,43.0,43.389999,42.869999,43.18,23.391401,12915900,hold,
2001-11-20,43.279999,43.529999,42.939999,43.18,23.391401,12104900,hold,
2001-11-21,43.34,43.799999,43.299999,43.630001,23.635168,9112000,hold,
2001-11-23,43.650002,43.900002,43.310001,43.650002,23.646008,3611900,hold,
2001-11-26,43.560001,44.0,43.25,43.900002,23.781435,10785100,sell,sell
2001-11-27,43.580002,44.040001,43.259998,43.599998,23.618925,10314600,hold,
2001-11-28,43.509998,43.740002,43.169998,43.169998,23.38597900000001,8019800,buy,buy
2001-11-29,43.18,43.650002,43.099998,43.48,23.553907,8928000,hold,
2001-11-30,43.650002,43.759998,43.200001,43.310001,23.461817,9412900,hold,
2001-12-03,43.470001,43.900002,43.279999,43.689999,23.667664,9707300,hold,
2001-12-04,43.349998,43.560001,43.150002,43.439999,23.53224,9896100,hold,
2001-12-05,43.299999,43.68,43.099998,43.529999,23.581007,11074700,hold,
2001-12-06,43.720001,43.939999,43.27,43.330002,23.472662,12851100,hold,
2001-12-07,43.290001,43.540001,43.07,43.099998,23.348057,9486100,hold,
2001-12-10,42.900002,43.099998,41.220001,41.34,22.394636,22124800,hold,
2001-12-11,41.200001,41.209999,40.049999,40.349998,21.858339,26414000,hold,
2001-12-12,40.5,40.759998,38.849998,40.240002,21.79875,21347100,hold,
2001-12-13,40.0,40.5,39.41,39.5,21.397873,18338700,hold,
2001-12-14,39.189999,39.740002,38.32,39.439999,21.365366,19806300,buy,buy
2001-12-17,39.630001,41.029999,39.599998,40.330002,21.847498,19590700,hold,
2001-12-18,41.0,41.23,40.599998,40.639999,22.015438,18717800,hold,
2001-12-19,40.5,41.299999,40.360001,41.099998,22.264633,13478100,hold,
2001-12-20,41.93,41.939999,41.02,41.400002,22.427139,13706800,sell,sell
2001-12-21,41.5,42.0,39.619999,41.0,22.210447,23734200,hold,
2001-12-24,40.549999,41.25,40.299999,40.77,22.085854,5686100,hold,
2001-12-26,40.560001,41.299999,40.5,40.619999,22.004602,6271800,hold,
2001-12-27,40.549999,40.599998,39.990002,40.349998,21.858339,9111500,hold,
2001-12-28,40.5,40.700001,39.950001,40.400002,21.88542,8944800,hold,
2001-12-31,40.400002,40.439999,39.849998,39.849998,21.587475,9747700,hold,
2002-01-02,39.849998,40.0,39.299999,39.900002,21.614559,14487900,hold,
2002-01-03,39.720001,39.799999,39.150002,39.700001,21.506214,12788700,hold,
2002-01-04,39.599998,39.880001,39.099998,39.400002,21.343706,12106700,buy,buy
2002-01-07,39.450001,39.700001,39.200001,39.700001,21.506214,11982000,hold,
2002-01-08,39.98,39.98,39.259998,39.59,21.446623,10290700,hold,
2002-01-09,39.849998,40.540001,39.709999,40.049999,21.695824,12412400,hold,
2002-01-10,40.150002,41.060001,40.0,41.009998,22.215876,12686100,sell,sell
2002-01-11,41.25,41.290001,40.25,40.599998,21.993759,9118100,hold,
2002-01-14,40.650002,41.009998,40.400002,40.52,21.95042,10403500,hold,
2002-01-15,40.900002,41.0,39.889999,40.41,21.890839,12841100,hold,
2002-01-16,40.700001,40.889999,40.110001,40.23,21.793327,11550500,hold,
2002-01-17,40.779999,40.779999,39.970001,40.130001,21.739153,10620900,hold,
2002-01-18,40.099998,40.630001,40.0,40.099998,21.722897,12225800,buy,buy
2002-01-22,40.400002,40.950001,40.220001,40.799999,22.102112,11835500,hold,
2002-01-23,41.0,41.939999,40.860001,41.799999,22.643829,18113800,sell,sell
2002-01-24,41.970001,41.990002,41.330002,41.5,22.481316,12845200,hold,
2002-01-25,41.919998,41.939999,41.549999,41.700001,22.589647,12598000,hold,
2002-01-28,41.599998,41.880001,41.27,41.57,22.519226,8217000,hold,
2002-01-29,41.599998,42.459999,40.799999,40.98,22.199619,13991000,buy,buy
2002-01-30,41.25,41.75,40.700001,41.25,22.345879,13027500,hold,
2002-01-31,41.099998,41.669998,40.900002,41.669998,22.573399,11387500,hold,
2002-02-01,41.900002,42.150002,41.700001,42.150002,22.833427,8990500,sell,sell
2002-02-04,41.849998,42.0,40.799999,41.150002,22.29171,10324800,hold,
2002-02-05,41.150002,42.25,41.150002,41.990002,22.746759,10579000,hold,
2002-02-06,41.599998,41.799999,41.049999,41.290001,22.367552,10331700,hold,
2002-02-07,41.25,41.380001,39.799999,40.060001,21.701242,15027800,buy,buy
2002-02-08,39.599998,40.799999,39.529999,40.700001,22.04793,12494500,hold,
2002-02-11,40.599998,41.099998,40.459999,40.91,22.161692,7682600,hold,
2002-02-12,40.75,41.34,40.380001,41.18,22.307957,8966100,hold,
2002-02-13,41.299999,41.360001,40.799999,41.09,22.329693,9247700,hold,
