Date,Open,High,Low,Close,Adj Close,Volume,Labels
2001-11-01,51.200001,52.950001,50.860001,52.240002,37.354866,8601900,
2001-11-02,51.799999,53.18,51.759998,52.970001,37.87685,5794300,
2001-11-05,53.150002,54.299999,52.389999,53.900002,38.541862,6841200,
2001-11-06,54.049999,55.099998,53.650002,54.939999,39.285522,8781200,
2001-11-07,54.849998,54.990002,53.400002,53.82,38.48465,8222400,
2001-11-08,54.599998,55.400002,53.990002,54.5,38.970901,8584100,hold
2001-11-09,54.549999,55.25,53.889999,55.099998,39.399937,5045700,hold
2001-11-12,54.549999,55.68,54.0,55.580002,39.743168,6500700,hold
2001-11-13,55.900002,55.950001,54.25,54.259998,38.799274,10522000,hold
2001-11-14,55.599998,55.799999,55.049999,55.279999,39.528648,9589300,hold
2001-11-15,55.580002,56.240002,55.279999,56.0,40.043484,8452000,sell
2001-11-16,56.0,56.0,54.650002,55.099998,39.399937,10558400,hold
2001-11-19,54.599998,55.860001,54.599998,55.75,39.864727,7963900,hold
2001-11-20,55.700001,55.98,55.110001,55.700001,39.82896,6336400,hold
2001-11-21,55.52,55.610001,54.84,55.119999,39.41423,4989500,hold
2001-11-23,55.07,55.849998,55.060001,55.799999,39.900482,2307000,hold
2001-11-26,55.700001,56.02,55.310001,55.75,39.864727,7702400,hold
2001-11-27,55.549999,55.810001,54.830002,55.080002,39.385632,9664100,hold
2001-11-28,54.900002,55.759998,54.48,55.0,39.328415,7469400,hold
2001-11-29,55.099998,55.290001,54.5,54.650002,39.078152,5727700,hold
2001-11-30,55.0,55.900002,54.900002,55.150002,39.435684,8414300,hold
2001-12-03,55.060001,55.23,54.18,54.580002,39.028103,7615500,hold
2001-12-04,54.400002,55.169998,54.200001,55.169998,39.449993,6865500,hold
2001-12-05,55.169998,56.57,54.939999,56.57,40.451065,9031700,sell
2001-12-06,55.950001,55.990002,55.41,55.619999,39.771763,7044300,hold
2001-12-07,55.209999,55.599998,54.75,55.34,39.571533,4602400,hold
2001-12-10,55.099998,55.400002,54.27,54.27,38.806431,5293400,hold
2001-12-11,54.119999,54.799999,53.509998,54.080002,38.67057,6097600,hold
2001-12-12,54.02,54.700001,53.5,54.330002,38.849335,5772300,hold
2001-12-13,54.080002,54.09,53.099998,53.360001,38.15572,7847100,buy
2001-12-14,53.700001,54.41,53.029999,54.060001,38.656273,6015900,hold
2001-12-17,54.150002,55.849998,53.880001,55.849998,39.93623,8463200,hold
2001-12-18,55.91,56.099998,55.419998,55.779999,39.886177,8798500,hold
2001-12-19,55.68,56.5,55.349998,56.279999,40.294262,8212100,hold
2001-12-20,56.330002,57.139999,56.200001,56.259998,40.279942,7845000,hold
2001-12-21,56.84,57.580002,56.529999,57.57,41.21785,13126800,hold
2001-12-24,57.52,57.700001,57.130001,57.130001,40.902836,2031400,hold
2001-12-26,57.75,58.57,57.709999,58.150002,41.633114,6638900,hold
2001-12-27,58.099998,58.599998,57.77,58.369999,41.790607,4822200,sell
2001-12-28,58.349998,58.740002,58.139999,58.349998,41.776314,4343400,hold
2001-12-31,58.099998,58.48,57.549999,57.549999,41.203537,5134700,hold
2002-01-02,57.650002,58.150002,56.990002,58.049999,41.56152700000001,6677900,hold
2002-01-03,57.950001,58.299999,57.5,57.98,41.511417,5957300,hold
2002-01-04,57.66,58.259998,57.200001,57.599998,41.23933,6679700,hold
2002-01-07,57.450001,58.099998,57.209999,57.389999,41.088993,5360400,hold
2002-01-08,57.689999,58.0,57.330002,57.84,41.411179,4370200,hold
2002-01-09,57.150002,57.529999,56.189999,56.400002,40.380192,7575800,hold
2002-01-10,56.400002,57.349998,56.259998,57.0,40.809769,6466400,hold
2002-01-11,56.650002,56.740002,55.529999,55.799999,39.9506,7271300,hold
2002-01-14,55.799999,56.900002,55.759998,55.759998,39.921974,6713800,buy
2002-01-15,55.759998,56.900002,55.310001,56.869999,40.716679,8086100,hold
2002-01-16,56.869999,56.869999,55.5,55.990002,40.086651,5506400,hold
2002-01-17,55.849998,57.220001,55.700001,56.759998,40.637943,7796500,hold
2002-01-18,56.549999,56.889999,55.970001,56.349998,40.344406,7007400,hold
2002-01-22,57.119999,58.700001,57.110001,58.009998,41.532883,9990000,hold
2002-01-23,58.400002,59.950001,58.220001,59.860001,42.857407,10682200,sell
2002-01-24,59.860001,59.950001,59.299999,59.669998,42.721386,7984100,hold
2002-01-25,59.360001,59.48,58.060001,58.400002,41.812099,7322100,hold
2002-01-28,58.700001,59.18,58.32,58.630001,41.976791,5142700,hold
2002-01-29,59.080002,59.48,57.91,57.91,41.4613,7373900,buy
2002-01-30,57.799999,59.950001,57.75,59.75,42.778667,10006100,hold
2002-01-31,59.599998,59.98,59.099998,59.98,42.943317,6861200,sell
2002-02-01,59.700001,59.900002,58.75,59.259998,42.427841,6697000,hold
2002-02-04,59.580002,59.900002,58.650002,58.900002,42.170094,6514600,hold
2002-02-05,59.040001,59.5,58.450001,58.799999,42.098488,6626800,hold
2002-02-06,58.700001,59.25,58.41,58.880001,42.155777,6421200,hold
2002-02-07,59.150002,59.75,58.34,58.389999,41.804955,8419300,buy
2002-02-08,58.389999,59.150002,58.099998,59.150002,42.349079,6378800,hold
2002-02-11,59.490002,60.299999,59.380001,60.25,43.136627,8501000,hold
2002-02-12,59.849998,60.349998,59.799999,60.099998,43.02924,5323600,hold
2002-02-13,60.299999,60.720001,59.880001,60.119999,43.043571,6399600,hold
2002-02-14,60.349998,60.59,59.93,60.490002,43.308479,5986000,sell
2002-02-15,60.490002,60.59,59.900002,60.029999,42.979122,7257600,hold
2002-02-19,59.400002,60.18,59.200001,59.290001,42.449322,9060600,buy
2002-02-20,59.369999,60.200001,58.799999,60.02,42.971966,8194100,hold
2002-02-21,60.150002,60.869999,59.389999,59.549999,42.63546,7339600,hold
2002-02-22,59.650002,59.950001,58.599998,59.950001,42.921844,7603200,hold
2002-02-25,60.200001,60.75,60.060001,60.650002,43.423035,8342500,hold
2002-02-26,60.799999,62.279999,60.450001,62.099998,44.461163,11650400,hold
2002-02-27,62.599998,62.849998,61.75,62.25,44.568554,12977300,hold
2002-02-28,62.700001,62.880001,61.540001,62.009998,44.396736,11995700,hold
2002-03-01,62.200001,62.810001,62.060001,62.810001,44.969498,7519600,hold
2002-03-04,62.950001,63.080002,62.18,62.98,45.091221,8167600,sell
2002-03-05,62.32,62.59,60.549999,60.759998,43.501762,12356700,buy
2002-03-06,60.970001,61.48,60.299999,60.900002,43.602009,10196200,hold
2002-03-07,61.5,61.950001,60.990002,61.700001,44.174767,9292400,hold
2002-03-08,62.18,62.900002,62.0,62.52,44.76185200000001,10461200,hold
2002-03-11,62.810001,62.810001,62.029999,62.529999,44.769024,6698200,hold
2002-03-12,61.900002,62.400002,61.889999,62.23,44.55423,6980900,hold
2002-03-13,61.75,62.09,61.299999,61.990002,44.382401,6178300,buy
2002-03-14,61.950001,62.59,61.91,62.27,44.58287,5020200,hold
2002-03-15,62.68,63.75,62.450001,63.75,45.642498,13302500,sell
2002-03-18,63.919998,63.939999,62.700001,63.549999,45.499313,6358800,hold
2002-03-19,63.700001,63.84,63.040001,63.459999,45.434872,5544900,hold
2002-03-20,62.950001,63.439999,62.93,63.18,45.28793,7102100,hold
2002-03-21,62.950001,63.189999,61.950001,62.200001,44.585442,5802400,hold
2002-03-22,62.200001,62.240002,61.57,62.049999,44.47792800000001,5499200,hold
2002-03-25,61.849998,62.18,61.279999,61.279999,43.925991,5917900,hold
2002-03-26,61.349998,62.389999,61.349998,62.169998,44.563957,6183500,hold
2002-03-27,62.049999,62.299999,61.619999,62.0,44.442078,6930800,hold
2002-03-28,62.009998,62.169998,61.279999,61.299999,43.94031500000001,5830000,hold
2002-04-01,60.349998,60.360001,58.619999,59.560001,42.693077,13248900,hold
2002-04-02,59.5,59.509998,58.75,58.93,42.241486,7788800,hold
2002-04-03,59.400002,59.799999,57.75,58.599998,42.004936,8932800,buy
2002-04-04,58.799999,59.599998,58.720001,59.279999,42.492371,6853300,hold
2002-04-05,59.23,59.75,58.779999,59.139999,42.392021,5321600,hold
2002-04-08,59.0,59.950001,58.52,59.779999,42.850784,6139300,hold
2002-04-09,60.099998,60.450001,59.900002,60.099998,43.080154,6229800,hold
2002-04-10,60.25,60.700001,59.869999,60.57,43.417061,7116000,hold
2002-04-11,60.650002,61.810001,60.009998,60.169998,43.130325,8567000,hold
2002-04-12,60.700001,61.849998,60.290001,61.23,43.890163,6488900,sell
2002-04-15,61.049999,61.27,59.52,59.93,42.958302,5770000,hold
2002-04-16,60.200001,60.709999,59.599998,60.0,43.008469,7013800,hold
