Date,Open,High,Low,Close,Adj Close,Volume,Labels
2001-11-01,39.450001,40.529999,39.049999,40.490002,25.642561,9657100,
2001-11-02,39.799999,39.93,39.369999,39.759998,25.180248,6733400,
2001-11-05,40.0,40.09,39.0,39.389999,24.945927,11013900,
2001-11-06,38.849998,39.490002,38.259998,39.470001,24.996592,11956600,
2001-11-07,39.0,39.529999,38.650002,39.080002,24.894663,10909200,
2001-11-08,39.279999,39.639999,39.150002,39.5,25.162203,10376400,hold
2001-11-09,39.900002,40.400002,39.810001,40.25,25.639969,7886400,hold
2001-11-12,39.400002,40.209999,39.400002,40.060001,25.51895,6826800,hold
2001-11-13,40.02,40.580002,39.900002,40.5,25.799227,8589200,sell
2001-11-14,39.900002,40.34,38.419998,38.700001,24.652601,17174900,hold
2001-11-15,38.099998,38.110001,36.790001,37.189999,23.690701,23268200,hold
2001-11-16,37.310001,37.610001,36.93,37.540001,23.913658,19030100,hold
2001-11-19,37.400002,37.5,36.759998,37.009998,23.576035,14306300,buy
2001-11-20,37.970001,38.439999,37.599998,37.959999,24.181204,14734800,hold
2001-11-21,38.299999,38.700001,37.799999,37.880001,24.130247,8165400,hold
2001-11-23,37.75,38.650002,37.41,38.439999,24.486984,4286300,sell
2001-11-26,38.049999,38.25,37.349998,37.77,24.060173,9741300,hold
2001-11-27,37.52,37.93,37.0,37.349998,23.792631,17340600,hold
2001-11-28,37.150002,37.43,36.810001,37.099998,23.633368,9617900,buy
2001-11-29,37.349998,37.689999,37.110001,37.450001,23.856325,8727500,hold
2001-11-30,37.630001,37.700001,37.189999,37.400002,23.82448,11246000,hold
2001-12-03,37.400002,38.200001,37.040001,37.66,23.990099,14895900,hold
2001-12-04,38.0,38.369999,37.599998,38.310001,24.404165,10647200,hold
2001-12-05,38.849998,38.950001,38.5,38.880001,24.767263,16500300,sell
2001-12-06,38.75,38.75,37.299999,37.330002,23.779896,15664100,hold
2001-12-07,37.5,38.25,37.299999,38.07,24.251278,9949200,hold
2001-12-10,38.07,38.09,37.509998,37.549999,23.920036,9827200,hold
2001-12-11,37.669998,38.049999,36.75,36.810001,23.448631,12167800,hold
2001-12-12,37.150002,37.540001,36.91,37.419998,23.837217000000006,10129100,hold
2001-12-13,37.599998,37.599998,36.41,36.439999,23.212934,15932100,buy
2001-12-14,36.639999,37.200001,36.52,36.860001,23.480484,11362400,hold
2001-12-17,36.799999,37.52,36.540001,37.470001,23.869068,12363700,hold
2001-12-18,37.580002,37.75,37.41,37.549999,23.920036,10264600,hold
2001-12-19,37.549999,38.5,37.41,38.349998,24.429638,13299900,hold
2001-12-20,38.549999,38.759998,38.139999,38.299999,24.397789000000003,12066500,buy
2001-12-21,38.599998,39.470001,38.5,38.5,24.525196,25322600,hold
2001-12-24,38.849998,39.450001,38.82,39.0,24.843697,4913700,hold
2001-12-26,39.150002,40.299999,39.119999,39.599998,25.225914000000003,9961800,hold
2001-12-27,39.610001,40.139999,39.450001,39.790001,25.346947,7395400,hold
2001-12-28,39.950001,40.099998,39.66,39.779999,25.340578,8007800,hold
2001-12-31,39.880001,40.0,39.16,39.299999,25.034809,8730500,buy
2002-01-02,39.299999,39.599998,38.900002,39.599998,25.225914000000003,11261900,hold
2002-01-03,39.849998,39.98,39.41,39.66,25.264135,10128200,hold
2002-01-04,39.700001,40.07,39.599998,40.0,25.480715,8052100,sell
2002-01-07,39.75,40.09,39.490002,39.650002,25.257767,9945700,hold
2002-01-08,39.900002,39.990002,39.5,39.700001,25.289608,8278000,hold
2002-01-09,39.599998,39.970001,39.099998,39.240002,24.996592,10036700,hold
2002-01-10,39.240002,39.77,39.060001,39.389999,25.09214,7847500,hold
2002-01-11,39.389999,39.599998,38.450001,38.5,24.525196,9459000,hold
2002-01-14,38.599998,39.200001,38.5,38.639999,24.61438,10142900,hold
2002-01-15,38.889999,39.549999,38.880001,39.299999,25.034809,9488500,hold
2002-01-16,39.0,39.009998,38.459999,38.5,24.525196,8913000,hold
2002-01-17,38.619999,39.029999,38.599998,38.639999,24.61438,7479600,hold
2002-01-18,38.639999,38.849998,38.279999,38.400002,24.461502,10301800,hold
2002-01-22,38.849998,39.5,38.009998,38.02,24.219421,7158800,hold
2002-01-23,38.5,39.169998,38.5,38.900002,24.780006,9892700,hold
2002-01-24,38.599998,38.990002,38.509998,38.799999,24.716293,10113800,hold
2002-01-25,38.98,39.639999,38.700001,39.16,24.945631,8516200,sell
2002-01-28,39.450001,39.869999,38.709999,38.959999,24.818228,8097600,hold
2002-01-29,38.5,38.900002,37.950001,37.950001,24.174833,11849500,buy
2002-01-30,37.950001,38.73,37.799999,38.689999,24.646223000000006,11733400,hold
2002-01-31,38.509998,39.049999,38.299999,39.049999,24.875563,11115000,hold
2002-02-01,39.150002,39.200001,38.799999,39.0,24.843697,9518300,hold
2002-02-04,39.099998,39.200001,38.259998,38.349998,24.429638,10086100,hold
2002-02-05,38.599998,38.900002,37.849998,38.330002,24.416904,10948500,buy
2002-02-06,38.34,38.98,38.130001,38.919998,24.792744,10385500,hold
2002-02-07,38.689999,38.990002,38.209999,38.299999,24.542826,9027100,hold
2002-02-08,38.049999,38.360001,37.990002,38.290001,24.536421,8731100,hold
2002-02-11,38.290001,38.91,37.959999,38.5,24.670994,8757900,hold
2002-02-12,38.68,38.740002,37.599998,38.400002,24.606915,7334000,hold
2002-02-13,38.5,38.669998,38.119999,38.639999,24.760708,10065900,hold
2002-02-14,38.98,39.400002,38.669998,39.0,24.991386,10044600,hold
2002-02-15,39.18,39.400002,38.900002,38.900002,24.927313,10471300,hold
2002-02-19,38.900002,39.439999,38.720001,38.77,24.844009,9863600,hold
2002-02-20,38.880001,38.990002,38.450001,38.990002,24.984982,7279900,hold
2002-02-21,39.450001,39.740002,39.060001,39.150002,25.087515,12312000,hold
2002-02-22,39.400002,40.959999,39.049999,40.720001,26.093582,17838900,hold
2002-02-25,40.849998,41.150002,40.619999,41.0,26.273005,11503400,hold
2002-02-26,41.0,41.110001,40.599998,40.720001,26.093582,10048000,buy
2002-02-27,40.919998,41.540001,40.580002,40.919998,26.221729,13939600,hold
2002-02-28,41.400002,41.799999,41.25,41.299999,26.46524,12889700,hold
2002-03-01,41.75,42.0,41.650002,42.0,26.913801,12683700,hold
2002-03-04,42.150002,42.700001,42.110001,42.650002,27.330328,11899900,hold
2002-03-05,42.5,42.900002,42.189999,42.5,27.234201,10761400,buy
2002-03-06,42.549999,43.48,42.380001,43.209999,27.68918,14752500,hold
2002-03-07,43.349998,43.349998,42.599998,42.889999,27.484125,11770000,hold
2002-03-08,43.5,43.52,42.669998,42.91,27.496952,10804100,hold
2002-03-11,43.25,43.779999,43.18,43.490002,27.868603000000004,12173400,hold
2002-03-12,43.59,44.0,43.459999,44.0,28.195408,12907500,sell
2002-03-13,43.950001,44.09,42.950001,43.119999,27.631512,14394400,hold
2002-03-14,43.439999,43.450001,43.009998,43.240002,27.708408,8734500,hold
2002-03-15,43.5,43.98,43.310001,43.610001,27.945513,16069300,hold
2002-03-18,43.75,43.990002,43.34,43.740002,28.028811,8586400,hold
2002-03-19,43.98,43.98,43.52,43.799999,28.067259000000004,8110200,hold
2002-03-20,43.639999,43.669998,43.330002,43.529999,27.894234,8208600,hold
2002-03-21,43.669998,43.689999,43.200001,43.529999,27.894234,7374000,hold
2002-03-22,43.5,43.66,43.119999,43.470001,27.85581,9326600,hold
2002-03-25,43.220001,43.310001,42.84,42.849998,27.458479,9524500,buy
2002-03-26,42.950001,43.75,42.950001,43.740002,28.028811,11368000,hold
2002-03-27,43.580002,44.150002,43.580002,43.950001,28.163372,11202200,hold
2002-03-28,44.049999,44.290001,43.709999,43.830002,28.08647,9657600,hold
2002-04-01,44.200001,44.32,43.799999,43.830002,28.08647,8932900,hold
2002-04-02,43.900002,44.57,43.869999,44.380001,28.438925,8986700,sell
2002-04-03,44.380001,44.400002,43.400002,43.689999,27.996761,12815300,hold
2002-04-04,44.099998,44.099998,42.950001,43.150002,27.650743,13766200,hold
2002-04-05,43.099998,43.970001,42.25,42.630001,27.317514000000006,11357400,hold
2002-04-08,43.349998,43.689999,43.029999,43.240002,27.708408,9313100,hold
2002-04-09,42.700001,42.91,42.470001,42.720001,27.375183000000003,9255600,hold
2002-04-10,42.5,43.18,42.5,43.18,27.669958,10407300,hold
2002-04-11,43.130001,43.139999,42.34,42.400002,27.170126,8666900,hold
2002-04-12,41.950001,42.099998,41.25,41.299999,26.46524,13028800,buy
2002-04-15,42.099998,42.299999,41.599998,41.599998,26.657484000000004,11332300,hold
2002-04-16,41.990002,42.5,41.900002,42.279999,27.093225,10538700,hold
2002-04-17,42.48,42.740002,41.919998,42.220001,27.054785,9391500,hold
2002-04-18,42.52,42.75,42.049999,42.459999,27.208574,9623300,hold
2002-04-19,42.459999,42.650002,42.060001,42.52,27.247025,8592400,sell
2002-04-22,42.450001,42.5,41.639999,41.849998,26.81768,8650900,hold
2002-04-23,40.5,41.560001,40.419998,41.349998,26.497290000000003,19170900,hold
2002-04-24,41.049999,41.169998,40.200001,40.299999,25.824448,13102000,hold
2002-04-25,40.099998,40.75,40.009998,40.540001,25.978239,11666000,hold
2002-04-26,40.599998,40.709999,39.799999,40.0,25.632193,10046600,hold
2002-04-29,40.0,40.360001,39.599998,39.700001,25.439945,10034600,hold
2002-04-30,40.0,40.700001,39.889999,40.169998,25.741137,12714700,hold
2002-05-01,39.900002,40.689999,39.689999,40.689999,26.074343,9875800,hold
2002-05-02,40.59,40.849998,40.310001,40.799999,26.144838,9258500,sell
2002-05-03,40.950001,41.130001,40.209999,40.59,26.010265,11052000,hold
2002-05-06,40.119999,40.169998,39.119999,39.25,25.151604000000006,9591800,hold
2002-05-07,39.490002,39.540001,39.029999,39.099998,25.055473000000006,8866500,buy
2002-05-08,38.849998,40.150002,38.849998,40.009998,25.638597,12585200,hold
2002-05-09,39.75,39.849998,39.25,39.360001,25.36792,8352500,hold
2002-05-10,39.799999,39.799999,38.75,38.959999,25.110107,9037300,hold
2002-05-13,38.82,40.099998,38.68,40.009998,25.786831,8910800,hold
2002-05-14,40.470001,40.779999,40.07,40.580002,26.154221,9816600,sell
2002-05-15,40.0,40.25,39.509998,39.709999,25.593493,9883100,hold
2002-05-16,39.950001,40.380001,39.939999,40.27,25.954411,7911800,hold
2002-05-17,40.279999,40.369999,39.740002,40.200001,25.909306,9978700,hold
2002-05-20,39.950001,40.0,39.5,39.59,25.51615,8056800,buy
2002-05-21,39.790001,40.220001,39.73,39.77,25.63216,9555500,hold
2002-05-22,40.02,40.59,39.84,40.43,26.057539,8328600,hold
2002-05-23,40.75,41.029999,40.299999,40.900002,26.360466,11039400,sell
